,id,contents,category,category_tag,predict,predict_tag
0,DN000000008778200425,"- 공정소득은 코로나 이후 악화되는 K자형 양극화에 대비하자는 것 반박 야권의 대선 주자인 유승민 바른정당 전 대표가 자신의 공정소득 이론을 비판한 이재명 경기도지사를 향해 “ 앞으로 토론을 하려면 뭐든지 똑바로 알고 똑바로 인용하라. 노벨경제학상 수상자들의 말까지 왜곡해가며 나를 비난하려 애쓰는 모습이 안타깝다”고 비판했다. 를 비판하면서 ‘수백 수천만원을 그것도 일을 적게 할수록 더 많이 주자는 것이라고 했다”고 지적했다. 유 전 대표는 자신은 이런 말을 한 적이 없다며 “나는 ‘공정소득의 원리는 단순하고 분명하다. 고소득층은 세금을 내고 저소득층은 보조금을 받는 것이다. 이는 사회복지의 원칙이고 상식이다. 공정소득은 코로나 이후 악화되는 K자형 양극화에 대비하자는 것이다고 했다”고 설명했다. 아울러 이 지사가 ‘노벨경제학상을 수상한 바네르지-뒤플로 교수 부부가 기본소득을 찬성했다고 주장한 것에 대해서도 “잘못된 인용이자 왜곡이다. 이 지사의 잘못된 인용이 고의로 거짓말을 지어낸 것인지, 아니면 책도 안 읽어본 참모들이 잘못 써준대로 한 것인지 알 수 없다”고 일갈했다. 이어 그는 “노벨경제학상을 받은 사람들 중에는 기본소득에 찬성하는 사람도 있고 공정소득 에 찬성하는 사람도 있다. 기본소득에 찬성하는 사람들도 그들이 말하는 기본소득이 전국민 대상이 아니라 저소득층이나 일부 국민들 대상인 경우가 많다”며 “상대방이 하지도 않은 말을 자기 맘대로 지어내어 덮어씌우는 것은 거짓말쟁이들이나 하는 행태다”고 덧붙였다.",8,정치,8,정치
1,DN000000008808263362,"- 공동대표 및 정책자문위원 등 임명장 수여 '내 삶을 지켜주는 나라, 신복지 충남포럼' 오전 10시 충남근로자복지회관에서 공동대표 등에 대한 ‘임명장 수여 및 충남대선공약 제안 1차 전달식을 개최하였다. 이날 행사에서는 정재택 상임고문을 포함한 공동대표, 운영위원, 정책자문위원, 법률자문위원, 지역본부장 등 96명을 대상으로 임명장 수여식이 진행되었다. 어기구 상임대표는 인사말에서 “충청권의 민심이 대선의 향방을 결정해 왔다. 결국 충청을 위한 대선공약이 중요한 역할을 한다. 오늘 ‘신복지 충남포럼에 임명장을 받고, 함께 참여하는 여러분의 정책제안이 ‘내 삶을 지켜주는 나라의 마중물이 될 것이다. 그 출발이 오늘 충남대선공약 1차 정책제안이 될 것이다”라고 전했다. 이날 신복지 충남포럼에 제안된 ‘충남대선공약으로는 ‘세종시 행정수도 헌법 명문화 추진, ‘한·중 해저터널을 통한 선도적 성장동력, ‘충남 국제공항 유치를 통한 국가균형발전 등 이다. ‘내 삶을 지켜주는 나라, 신복지 충남포럼은 지난 5월 22일. 회원 400여명이 참석한 가운데 더불어민주당 이낙연 전 대표의 특강과 함께 성황리에 출범하였다. '내 삶을 지켜주는 나라'는 이낙연 전 대표가 제안한 국가 비전이다. 4차 산업혁명과 코로나19로 사회격차와 불안이 심화하는 상황에서 국민을 보호하기 위한 ‘보편적 사회 보호 체계로서 신복지제도의 국가철학을 쉽게 표현한 말이다. '신복지 충남포럼'은 2030년까지 소득, 교육, 의료, 주거, 노동, 문화, 환경 등, 삶의 전반적인 영역에서 선진국 수준의 '국민 생활 적정기준'을 보장하고 살기 좋은 대한민국과 충남을 만들기 위해 설립됐다. 보령시장신문 ",8,정치,8,정치
2,DN000000008791388703,"-- 바르셀로나 MWC21 참가 -- 인텔, 기가테라 커뮤니케이션즈 를 오픈랜 생태계를 통하여 구축 및 혁신 는 최대 규모의 오픈랜 파트너 생태계를 구축하는 이정표를 달성했으며 오픈랜 기술의 최신 혁신을 바르셀로나 MWC21 전시회의 2번 홀, 2015번 부스에서 파트너와 함께 시연을 선보일 예정이다. 또한 패럴렐 와이어리스는 모든 모바일 연결 표준 을 동일한 소프트웨어 제품군으로 통합하는 세계 최초의 네트워크 아키텍처를 적용하여 오픈랜 분야의 구축 및 혁신을 주도하고 있다. 광범위한 파트너 생태계와 함께, 패럴렐 와이어리스는 이동통신사가 첨단 네트워크를 구축하는 동시에 비용 및 복잡도를 줄이고 수익을 높일 수 있도록 지원한다. 이 파트너 생태계는 고객 중심이며 개방형 및 모듈형 아키텍처 구축을 기반으로 하는 실행 가능한 솔루션을 접목하는 데 중점을 두고 있으며 보다폰 에서 패럴렐 와이어리스는 통신사가 오픈랜 및 5G의 출시를 촉진할 수 있도록 글로벌 수준에서 어떻게 접목할 수 있는지 보여줄 예정이다. 패럴렐 와이어리스는 하드웨어 및 소프트웨어 도메인 전반에 빠른 혁신을 제공하기 위해 광범위한 파트너 생태계와 함께 협력하고 있다. 미래를 보는 시야로 오늘을 재창조하자는 구축과 혁신이라는 두 가지 부주제를 담고 있는 올해의 이벤트를 위한 패럴렐 와이어리스의 주제 의식이다. 자사의 광범위한 파트너 생태계를 갖춘 업계를 선도하는 첨단 시연 내용은 다음과 같다. 구축 혁신 또한 6월 28일 월요일, 패널 세션에 참석하셔서 패럴렐 와이어리스의 마케팅 부사장인 유지나 조던 같은 기업 및 여타 기업들의 오픈랜 에 대하여 토론하십시오. 추가로, 패럴렐 와이어리스는 2021 GSMA 글로벌 모바일 어워드 로 6월 30일 수요일 정오 12시 에 발표 예정입니다. 곧 바르셀로나에서 만나 뵙길 고대합니다! 페럴렐 와이어리스의 회장인 키스 존슨 와 함께 일하게 되어 기쁩니다. 패럴렐 와이어리스 소개 패럴렐 와이어리스 팀이 있습니다. 자세한 내용은 www.parallelwireless.com을 참조하십시오. 링크트인 에서 패럴렐 와이어리스를 만나십시오. 로고 ps://mma.prnewswire.com/media/1004727/PW_FullColor_CMYK_Logo.jpg 출처: Parallel Wireless Parallel Wireless Announces Industry Leading Open RAN Ecosystem at MWC21 Barcelona -- Deploy and Innovate with the most mature ALL G NASHUA, N.H., June 8, 2021 /PRNewswire/ -- Parallel Wireless, Inc. , the leading U.S.-based O-RAN compliant, Open RAN company, enabling ALL Gs, has reached a milestone in creating the largest ecosystem of Open RAN partners, and plans to demonstrate with our partners the latest innovations in Open RAN technology at MWC21 Parallel Wireless is leading the disruption in the industry with deployments and innovations in Open RAN, including the world's first network architecture that unifies all mobile connectivity standards This ecosystem of partners is customer-driven and focuses on assembling viable solutions that build on an open and modular architecture, leveraging input from top worldwide operators leading the Open RAN movement such as Vodafone . At Mobile World Congress Parallel Wireless will showcase how this can be replicated on a global level to hasten operators roll-out of Open RAN and 5G. Parallel Wireless is working with a broad ecosystem of partners to deliver rapid innovation across hardware and software domains. Reimagine Today with the Vision of Tomorrow is the Parallel Wireless theme for this year's event with two sub-themes of Deploy and Innovate. Our leading-edge demos with our broad ecosystem of partners includes: DEPLOY INNOVATE Also be sure to join the panel session on Monday, June 28th as Eugina Jordan, VP of Marketing at Parallel Wireless . In addition, Parallel Wireless is proud to be selected as a nominee for the 2021 GSMA Global Mobile Awards in the category of 'Best Mobile Technology Breakthrough' for our Parallel Wireless All G We look forward to seeing you soon in Barcelona! Keith Johnson, President at Parallel Wireless said One of the key topics of conversation at MWC will be how, with the continued roll-out of 5G, the economics of the mobile industry have to change. Years of consolidation have left the telecoms industry with just a couple of Radio Access Network , O-RAN Alliance and Open Compute Project to enable a broad open ecosystem of disaggregated RAN solutions using vendor-neutral hardware and software-defined technology based on open interfaces and community-developed standards. About Parallel Wireless At Parallel Wireless, we believe that software has the power to unleash amazing opportunities for the world. We disrupt the ways wireless networks are built and operated. We are reimagining how hardware, software, and the cloud work together to change deployment economics for our customers. Our ALL G O-RAN compliant software platform forms an open, secure, and intelligent RAN architecture to deliver wireless connectivity, so all people can be connected whenever, wherever, and however they choose. We are deploying with leading global MNOs and have been recognized with over 74 industry awards. At the core of what we do is our team of Reimaginers who value innovation, collaboration, openness, and customer success. For more information, visit: www.parallelwireless.com. Connect with Parallel Wireless on LinkedIn . Logo Parallel Wireless logo. Source: Parallel Wireless 출처 : PRNewswire 보도자료",0,IT/과학,0,IT/과학
3,DN000000008853835944,"      더불어민주당 신영대 의원 이 민주당의 혁신과 흥행을 담당할 대선경선기획단에 인선됐다.  더불어민주당 강훈식 대선경선기획단장은 27일, 기획단의 내부인사 구성을 발표하며 초선대표로 신 의원을 인선했다고 밝혔다.  강 단장은 이번 구성에 당 전체의 목소리를 모으는 데 집중하고자 당의 모든 인사로부터 추천을 받고 정치와 국회의 경험을 고려해 인선했다고 취지를 설명했다.  신 의원은 21대 국회 들어 초대 원내부대표와 당 대변인을 역임하는 등 초선에도 불구하고 당과 국회에서 중추적인 역할을 맡아, 현안에 대한 독창적인 대안과 민심을 읽어내는 정무적인 감각에서 두각을 나타낸 것이 높이 평가받은 것으로 알려졌다.  특히 전북 정치권에서 민주당 대선경선기획단에 포함된 것은 신 의원이 유일하다.  신영대 의원은 “중책을 맡아 어깨가 무겁지만, 당원과 국민의 의견을 받들어 당내 구성원들의 합의를 이끌고, 반드시 정권 재창출을 이뤄낼 수 있도록 최선을 다 하겠다”고 소회를 밝혔다.  한편 민주당 대선경선기획단은 외부인사 인선까지 마무리하게 되면, 오는 7월 11일 경선후보 컷오프를 시작으로 9월 10일 대선후보 확정까지의 당내 경선 전체 과정을 관리하게 된다. ",8,정치,8,정치
4,DN000000008834209192, 지난 19일 미·멕시코 국경지대인 텍사스주 엘패소와 멕시코 시우대드후아레스 사이에서 떨어져 지내는 이민자들이 만나는 상봉 행사가‘장벽 대신 허그를이라는 주제로 열렸다. 이날 행사에서 만난 이민자 가족들이 서로 껴안고 있다.    ,4,사회,4,사회
5,DN000000008766719171,"​                           불법 총기류 ‘고스트건 제작한 일당 검거   1일 부산경찰청 강력범죄수사대에 따르면 불법으로 총기를 제작한 일당 중 A 씨를 구속하고 구입자 등 6명을 불구속 입건했다. 이들의 범죄는 지난해 3월부터 미국 총기 사이트에서부터 시작됐다. 총기 부품을 장난감 부품 등으로 속이고 국내 수입 통관을 지나서 이 총기부품을 모의 총기 부품과 결합해 실제 총기와 비슷한 권총과 소총을 만든 것이다. 경찰이 이들 압수한 총기류 138점 중 권총과 소총으로 사격 실험을 하자 합판 4장도 뚫어버리고, 맥주 캔 4개가 한번에 박살나는 위력을 보였다. 이들은 주거지, 사무실에서 이 불법 총기류를 제작했고, 이들 중에는 현역 부사관도 있어서 군부대 인근에서 금속탐지기로 유류된 실탄을 수집하거나, 화약 모형탄을 이용해 사격 연습을 한 것으로 전해졌다. 이미 미국 등에서는 '고스트건'으로 부르는 모의 총기의 부품으로 제작된 총기류를 강력 규제, 처벌하고 있는데 이러한 총기류가 범죄 조직에 들어갈 경우 강력 범죄가 발생할 것은 자명한 일로 경찰은 외 연관 범죄기 있는지에 대해서 수사하고 있다. 또한 이러한 범죄를 예방하기 위해 관세청에 통관 절차에 걸리지 않는 총기부품 목록과 범행 수법 등 정보를 관세청에 제공해 수입통관 절차 개선을 요청할 예정이다.    ",4,사회,4,사회
6,DN000000008774529883,"과학적 연구로 증거 찾는 수밖에…WHO에 조사 맡기면 안돼 = 영국 해외정보국 전 수장은 중국이 이미 코로나19 기원에 관한 증거를 파괴했기 때문에 연구소 유출설을 입증하기 어려울 것이라고 주장했다. 리처드 디어러브 전 MI6 국장은 3일 일간 텔레그레프가 운영하는 팟캐스트 방송에 출연해 아마 많은 자료가 이미 파괴되거나 사라졌을 것이라고 지적했다고 현지 매체들이 전했다. 디어러브 전 국장은 바이러스의 연구소 기원설을 증명하려면 이제 과학적 연구를 통해 증거를 찾아야 한다고 강조했다. 그는 바이러스 실험에 관해 말하려 한 중국 과학자들 역시 중국 정부에 의해 침묵당했을 가능성이 있다고 지적했다. 이어 중국은 꽤 무서운 정권이며 정부 공식 노선에 대한 반대를 침묵시키는 데 우리로선 용납할 수 없는 극단적인 무언가를 정말로 한다고 말했다. 디어러브 전 국장은 1999~2004년 영국의 대외 정보기관인 MI6를 이끌었다. 그는 이전부터 코로나19가 동물에서 넘어오기 보다는 연구소에서 나왔을 가능성이 훨씬 높다고 주장했다. 디어러브 전 국장은 중국이 영국을 비롯한 다른 나라들의 과학기관과 학술지에 잠입해 있을 것이라며, 서구 국가들이 순진하게 중국을 믿었다고 말했다. 그는 세계보건기구 내내 부실 대응과 중국 눈치보기로 비판받았다. 월스트리트저널 은 지난달 23일 비공개 미국 정보기관 보고서를 인용해 우한 바이러스연구소 연구원 3명이 2019년 11월 코로나19에 걸렸을 때와 비슷한 증상으로 병원 치료를 받았다고 보도했다. 코로나19는 2019년 12월 우한에서 첫 공식 보고된 뒤 전 세계에 퍼졌다. 이를 계기로 코로나19의 우한 연구소 유출설이 급부상하자 조 바이든 대통령은 미국 정보당국에 기원 조사를 추가로 실시해 90일 안에 결과를 보고하도록 지시했다. ",4,사회,0,IT/과학
7,DN000000008774529842,기자 입건하거나 수사한 사실 없어 = 김진욱 고위공직자범죄수사처장이 3일 정부과천청사 공수처로 출근하고 있다. 2021.06.03. 를 뒷조사했다는 의혹이 제기되자 첩보 확인을 위해 탐문한 것이라고 해명했다. 공수처는 3일 입장문에서 당시 수사기관만 보유하고 있어야 할 수사자료인 폐쇄회로 TV 영상이 부당한 경로로 유출됐다는 첩보를 확인하기 위해 해당 CCTV 관리자를 대상으로 탐문 등 사실 확인 절차를 진행한 사실이 있다고 밝혔다. 를 입건하거나 수사한 사실이 없다고 밝혔다. TV조선은 이날 경기 과천의 한 주차장에서 이 지검장이 공수처장 관용차에 타는 장면을 보도한 이후 닷새 뒤 공수처 수사관들이 해당 장소로 가 CCTV 위치를 확인했다고 보도했다. ,4,사회,4,사회
8,DN000000008851144427,"용납될 수 없는 행위 시인…독립 조사 계획 제공: 연합뉴스 올림픽 불참을 선언한 호주 수영선수 매디 그로브스 = 호주 수영계에서 성추행, 학대 등을 고발하는 폭로전이 이어지면서 협회가 이를 '용납할 수 없는 행위'로 규정하고 진상 규명에 착수했다. AFP 통신에 따르면 호주수영협회는 26일 성명을 통해 수영계 일부 구성원이 '용납될 수 없는 행위'를 당했다는 점을 인지했다면서 이같은 입장을 밝혔다. 협회는 이들 행위 중 일부는 수십년 전으로 거슬러 올라간다면서 이를 규명하고 개선하는 작업에 착수했다고 발표했다. 그러면서 이런 주장의 심각성을 알고 있으며, 깊이 우려한다면서 우리는 어떤 주장이라도 철저하게 조사할 것이라고 덧붙였다. 이같은 발표는 앞서 호주 여자 은메달리스트인 매디 그로브스가 지난 9일 여성 선수를 착취하는 '여성혐오증 변태들'에게 경고한다면서 올림픽 출전을 거부하겠다고 선언한 뒤 나왔다. 그로브스는 당시 자신의 인스타그램 계정에 올린 글에서 스포츠계에서 모든 여성혐오증에 걸린 변태들과 그들의 아첨꾼에게 교훈이 되게 하자라고 주장했다. 이후 그로브스의 뒤를 따라 6명의 은퇴 선수가 내부의 누적된 폐단을 문제삼고 나섰으며, 이 중에는 성비위와 관련된 것이 한 건 이상이라고 AFP 통신은 전했다. 한 올림픽 금메달리스트는 스포츠계에서 모멸과 학대를 일삼는 풍토가 뿌리 깊게 퍼져 있으며, 수백명의 선수와 코치를 면담한 결과 '악질적' 훈련 행태가 만연하다고 고발하기도 했다. 협회는 이번 사안을 조사할 독립적 여성 패널을 출범할 계획이며, 전날인 25일 그로브스와도 도움이 되는 만남을 가졌다고 설명했다. 협회는 며칠 안에 패널 위원장을 발표할 예정이며, 다수의 선수와 부모에게 의견 개진을 요청했다고 덧붙였다. ",4,사회,6,스포츠
9,DN000000008857183062,"주기적 발병…미국서 항상 어느 정도의 확산 있을 것 팬데믹 초기와는 다를 것…백신 접종률 따라 지역별 차이 = 코로나19 하루 신규 확진자가 '0명'인 날은 오지 않을 것이라고 미국 전문가가 전망했다. 팬데믹 으로 변모할 가능성이 높다는 설명이다. 스콧 고틀립 전 미국 식품의약국 CNBC와의 인터뷰에서 미국에서 코로나19 신규 확진자가 0명인 날은 절대 오지 않을 것이라며 항상 어느 정도 수준의 확산이 있을 것이라고 말했다. 고틀립 전 국장은 미국에서 '지속적인 감염'이 나타날 것이라면서도 확산 규모나 지형은 팬데믹 초기 단계와 많이 다를 전망이라고 밝혔다. 코로나19 백신 접종 비율에 따라 지역별로 발병 수준이 차별화 될 것으로 그는 예상했다. 고틀립 전 국장은 미국에서 새로운 코로나바이러스 확산이 발생하더라도 1년 전보다는 영향이 훨씬 적을 것이라며 감염에 취약한 이들이 지금은 백신 접종으로 보호받고 있기 때문이라고 말했다. 지난 일주일 동안 미국에서는 하루 평균 1만2000명 정도의 코로나19 신규 확진자가 나왔다. 미국 질병통제예방센터 집계에 따르면 27일 기준 미국 전체 인구의 46.1%가 코로나19 백신 접종을 완료했다. 18세 이상은 56.8%, 65세 이상은 77.7%가 백신 접종을 마쳤다. 백신 접종률이 올라고 있지만 전염성이 강한 변이 바이러스가 기승이다. 인도에서 처음 발견된 델타 변이는 90개 넘는 국가에 번지며 전 세계적으로 '지배종'이 되고 있다. 미국에서도 신규 확진자 20% 이상이 델타 변이 감염자다.",3,미용/건강,3,미용/건강
